Y轴坐标,主轴转速,Y轴功率,主轴功率,主轴负载,X轴负载,Y轴负载,Z轴负载,X轴电流,Y轴电流,Z轴电流,刃1磨损值,刃2磨损值,平均磨损值
99.456,5307.827,1.471,228.517,1.721,0.238,2.655,15.332,0.032,-0.449,-2.755,0.000115106,5.22E-05,8.37E-05
99.456,5307.827,1.471,228.517,1.721,0.238,2.655,15.332,0.032,-0.449,-2.755,0.000463422,0.000782029,0.000622726
98.776,5307.541,1.471,228.517,1.727,0.22,2.832,15.479,0.039,-0.501,-2.791,0.000671531,0.001033662,0.000852597
98.776,5307.541,1.471,228.517,1.727,0.22,2.832,15.479,0.039,-0.501,-2.791,0.001190207,0.00132832,0.001259263
98.116,5308.113,1.471,228.517,1.727,0.226,2.344,15.265,0.039,-0.431,-2.775,0.001540344,0.001698294,0.001619319
98.116,5308.113,1.471,228.517,1.727,0.226,2.344,15.265,0.039,-0.431,-2.775,0.001548713,0.001957762,0.001753237
97.456,5308.399,1.471,228.517,1.733,0.238,2.917,15.387,0.038,-0.506,-2.763,0.002251259,0.002053577,0.002152418
97.456,5308.399,1.471,228.517,1.733,0.238,2.917,15.387,0.038,-0.506,-2.763,0.002867415,0.002164981,0.002516198
96.776,5308.228,1.471,228.517,1.727,0.159,2.881,15.363,0.027,-0.526,-2.774,0.002922028,0.002443402,0.002682715
96.116,5308.056,1.471,228.517,1.727,0.177,2.753,15.228,0.038,-0.52,-2.781,0.003054095,0.002513499,0.002783797
96.116,5308.056,1.471,228.517,1.727,0.177,2.753,15.228,0.038,-0.52,-2.781,0.003183285,0.002522818,0.002853051
95.456,5307.255,1.471,228.517,1.733,0.195,2.93,15.485,0.031,-0.523,-2.784,0.003260082,0.003088955,0.003174518
95.456,5307.255,1.471,228.517,1.733,0.195,2.93,15.485,0.031,-0.523,-2.784,0.003360384,0.003199102,0.003279743
94.776,5308.17,1.471,228.517,1.733,0.073,2.826,15.43,0.019,-0.549,-2.786,0.003444608,0.003656302,0.003550455
94.776,5308.17,1.471,228.517,1.733,0.073,2.826,15.43,0.019,-0.549,-2.786,0.003571168,0.003723463,0.003647316
94.116,5308.514,1.471,228.517,1.733,0.134,3.186,15.24,0.007,-0.506,-2.755,0.003576273,0.004265241,0.003920757
94.116,5308.514,1.471,228.517,1.733,0.134,3.186,15.24,0.007,-0.506,-2.755,0.003773887,0.004445409,0.004109648
93.456,5307.369,1.471,228.517,1.733,0.031,2.936,15.411,0.01,-0.566,-2.765,0.004243114,0.004505111,0.004374112
93.456,5307.369,1.471,228.517,1.733,0.031,2.936,15.411,0.01,-0.566,-2.765,0.00430238,0.004635126,0.004468753
92.776,5308.228,1.471,228.517,1.733,0.024,2.594,15.363,0.003,-0.477,-2.757,0.004617139,0.004844734,0.004730936
92.116,5307.598,1.471,228.517,1.733,0.177,2.856,15.43,0.002,-0.477,-2.75,0.004965443,0.004953258,0.00495935
92.116,5307.598,1.471,228.517,1.733,0.177,2.856,15.43,0.002,-0.477,-2.75,0.0052677,0.005133189,0.005200444
91.456,5308.056,1.471,228.517,1.733,0.012,2.606,15.198,0.003,-0.509,-2.724,0.005395012,0.005207789,0.0053014
91.456,5308.056,1.471,228.517,1.733,0.012,2.606,15.198,0.003,-0.509,-2.724,0.005961887,0.005375439,0.005668663
90.776,5308.17,1.471,228.517,1.74,0.049,2.594,15.118,0.01,-0.477,-2.722,0.005977954,0.005423948,0.005700951
90.776,5308.17,1.471,228.517,1.74,0.049,2.594,15.118,0.01,-0.477,-2.722,0.006047118,0.005497415,0.005772266
90.116,5307.999,1.471,228.517,1.746,0,2.924,15.442,0.014,-0.482,-2.733,0.006359137,0.005670469,0.006014803
90.116,5307.999,1.471,228.517,1.746,0,2.924,15.442,0.014,-0.482,-2.733,0.006799277,0.00594033,0.006369803
89.436,5307.884,1.471,228.517,1.746,0.098,2.814,15.485,0.019,-0.521,-2.743,0.00688061,0.006001882,0.006441246
89.436,5307.884,1.471,228.517,1.746,0.098,2.814,15.485,0.019,-0.521,-2.743,0.007144546,0.006159067,0.006651807
89.436,5307.884,1.471,228.517,1.746,0.098,2.814,15.485,0.019,-0.521,-2.743,0.007585429,0.006204522,0.006894976
88.096,5308.628,1.471,228.517,1.746,0.085,2.844,15.021,0.007,-0.487,-2.705,0.007596669,0.00634045,0.00696856
88.096,5308.628,1.471,228.517,1.746,0.085,2.844,15.021,0.007,-0.487,-2.705,0.007817553,0.006418709,0.007118131
87.436,5307.484,1.471,228.517,1.752,0.018,2.686,15.192,0.014,-0.562,-2.729,0.008112577,0.007145281,0.007628929
87.436,5307.484,1.471,228.517,1.752,0.018,2.686,15.192,0.014,-0.562,-2.729,0.008346981,0.00728853,0.007817756
86.776,5308.056,1.471,228.517,1.752,0.067,2.924,15.271,0.01,-0.492,-2.753,0.008382138,0.007399477,0.007890807
86.776,5308.056,1.471,228.517,1.752,0.067,2.924,15.271,0.01,-0.492,-2.753,0.008443585,0.007734681,0.008089133
86.096,5307.713,1.471,228.517,1.752,0.085,3.174,15.375,0.012,-0.574,-2.765,0.00855158,0.008086242,0.008318911
86.096,5307.713,1.471,228.517,1.752,0.085,3.174,15.375,0.012,-0.574,-2.765,0.009082329,0.008207121,0.008644725
85.436,5307.541,1.471,228.517,1.746,0.183,3.015,14.984,0.015,-0.52,-2.755,0.009111346,0.008348281,0.008729814
85.436,5307.541,1.471,228.517,1.746,0.183,3.015,14.984,0.015,-0.52,-2.755,0.009422934,0.008623453,0.009023193
84.776,5308.228,1.471,228.517,1.746,0.128,3.04,15.161,0.022,-0.542,-2.733,0.009645453,0.008666655,0.009156054
84.096,5307.999,1.471,228.517,1.746,0.073,2.692,15.265,0.017,-0.473,-2.751,0.009673003,0.008750035,0.009211519
84.096,5307.999,1.471,228.517,1.746,0.073,2.692,15.265,0.017,-0.473,-2.751,0.009713178,0.008852746,0.009282962
83.436,5307.827,1.471,228.517,1.752,0.092,2.893,15.167,0.012,-0.514,-2.772,0.00975404,0.008989165,0.009371603
83.436,5307.827,1.471,228.517,1.752,0.092,2.893,15.167,0.012,-0.514,-2.772,0.009871228,0.008995068,0.009433148
82.776,5307.884,1.471,237.306,1.758,0.031,2.667,15.442,0.003,-0.479,-2.763,0.01056292,0.009149873,0.009856397
82.776,5307.884,1.471,237.306,1.758,0.031,2.667,15.442,0.003,-0.479,-2.763,0.010579827,0.009235234,0.009907531
82.096,5308.228,1.471,228.517,1.752,0.098,2.618,15.405,-0.003,-0.473,-2.772,0.010621634,0.009337052,0.009979343
82.096,5308.228,1.471,228.517,1.752,0.098,2.618,15.405,-0.003,-0.473,-2.772,0.010665277,0.009382003,0.01002364
81.436,5308.113,1.471,237.306,1.758,0.073,2.924,15.234,-0.01,-0.509,-2.751,0.010676186,0.009851874,0.01026403
80.776,5308.342,1.471,237.306,1.77,0.146,2.698,15.344,-0.009,-0.484,-2.746,0.010776902,0.009859409,0.010318155
80.776,5308.342,1.471,237.306,1.77,0.146,2.698,15.344,-0.009,-0.484,-2.746,0.010969746,0.010022154,0.01049595
80.096,5308.113,1.471,237.306,1.764,0.092,2.74,15.265,-0.003,-0.514,-2.755,0.011111922,0.010060632,0.010586277
80.096,5308.113,1.471,237.306,1.764,0.092,2.74,15.265,-0.003,-0.514,-2.755,0.011120276,0.010166939,0.010643607
79.436,5309.429,1.471,237.306,1.758,0.104,2.942,15.356,0.002,-0.47,-2.729,0.011741765,0.010401157,0.011071461
79.436,5309.429,1.471,237.306,1.758,0.104,2.942,15.356,0.002,-0.47,-2.729,0.011899768,0.010481324,0.011190546
78.776,5308.056,1.471,237.306,1.77,0.024,2.649,15.057,0,-0.496,-2.714,0.011921454,0.010484625,0.011203039
78.776,5308.056,1.471,237.306,1.77,0.024,2.649,15.057,0,-0.496,-2.714,0.011939625,0.010570943,0.011255284
78.096,5307.541,1.471,237.306,1.776,0.104,2.814,15.07,0.012,-0.508,-2.714,0.012061161,0.010592042,0.011326602
78.096,5307.541,1.471,237.306,1.776,0.104,2.814,15.07,0.012,-0.508,-2.714,0.012331893,0.010881794,0.011606844
77.436,5308.514,1.471,237.306,1.782,0.024,2.582,15.436,0.019,-0.525,-2.721,0.012698682,0.010915421,0.011807051
77.436,5308.514,1.471,237.306,1.782,0.024,2.582,15.436,0.019,-0.525,-2.721,0.01280144,0.010975505,0.011888473
76.776,5307.426,1.471,237.306,1.782,0.159,2.686,15.155,0.015,-0.472,-2.741,0.012990621,0.011035348,0.012012984
76.096,5307.026,1.471,237.306,1.782,0.14,2.856,15.039,0.021,-0.494,-2.707,0.013197329,0.011170574,0.012183952
76.096,5307.026,1.471,237.306,1.782,0.14,2.856,15.039,0.021,-0.494,-2.707,0.013317101,0.011228396,0.012272748
75.436,5308.113,1.471,237.306,1.776,0.037,2.46,15.094,0.026,-0.489,-2.716,0.013606856,0.011749285,0.012678071
75.436,5308.113,1.471,237.306,1.776,0.037,2.46,15.094,0.026,-0.489,-2.716,0.013655314,0.01181552,0.012735417
74.776,5307.198,1.471,237.306,1.776,0.226,2.765,15.094,0.046,-0.484,-2.71,0.013862444,0.012018702,0.012940573
74.776,5307.198,1.471,237.306,1.776,0.226,2.765,15.094,0.046,-0.484,-2.71,0.014188634,0.012085957,0.013137295
74.096,5307.541,1.471,237.306,1.782,0.226,3.021,15.222,0.036,-0.508,-2.734,0.01449548,0.012308375,0.013401927
74.096,5307.541,1.471,237.306,1.782,0.226,3.021,15.222,0.036,-0.508,-2.734,0.014553898,0.012393228,0.013473563
73.436,5308.17,1.471,237.306,1.77,0.201,2.563,15.021,0.043,-0.521,-2.746,0.014929401,0.012487276,0.013708338
72.776,5308.342,1.471,237.306,1.764,0.122,2.887,15.167,0.034,-0.485,-2.731,0.014986544,0.012533218,0.013759881
72.776,5308.342,1.471,237.306,1.764,0.122,2.887,15.167,0.034,-0.485,-2.731,0.015237802,0.012649987,0.013943894
72.776,5308.342,1.471,237.306,1.764,0.122,2.887,15.167,0.034,-0.485,-2.731,0.01527212,0.012788838,0.014030479
72.096,5308.685,1.471,237.306,1.77,0.183,3.009,15.155,0.032,-0.55,-2.729,0.015365672,0.013015145,0.014190408
71.436,5308.743,1.471,237.306,1.764,0.171,2.753,14.935,0.036,-0.513,-2.729,0.015640495,0.013208296,0.014424395
71.436,5308.743,1.471,237.306,1.764,0.171,2.753,14.935,0.036,-0.513,-2.729,0.015761308,0.013393125,0.014577217
70.756,5308.113,1.471,237.306,1.764,0.134,2.863,15.1,0.022,-0.461,-2.746,0.016148474,0.013412293,0.014780384
70.756,5308.113,1.471,237.306,1.764,0.134,2.863,15.1,0.022,-0.461,-2.746,0.016218231,0.01343033,0.014824281
70.096,5308.571,1.471,237.306,1.764,0.092,2.887,15.277,0.021,-0.543,-2.745,0.016261174,0.013629255,0.014945214
70.096,5308.571,1.471,237.306,1.764,0.092,2.887,15.277,0.021,-0.543,-2.745,0.016564873,0.01388742,0.015226147
